NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 노원구 상계동,404-16,0404,0016,(404-16),월세,14.7,202409,09,300,40,4,2013,상계로17길 52,202409~202609,신규,-,,,연립다세대
2,서울특별시 노원구 상계동,1389-22,1389,0022,토담그린빌라(1389-22),전세,41.41,202409,09,"8,000",0,2,1993,상계로33길 33-3,202411~202611,신규,-,,,연립다세대
3,서울특별시 노원구 상계동,389-83,0389,0083,덤보프라자가동,전세,75.51,202409,09,"24,000",0,2,2002,한글비석로31가길 13,202410~202610,신규,-,,,연립다세대
4,서울특별시 노원구 상계동,68-17,0068,0017,보림빌라,전세,34.38,202409,07,"11,000",0,3,1992,덕릉로124가길 19,202410~202610,신규,-,,,연립다세대
5,서울특별시 노원구 상계동,169-480,0169,0480,인강빌,월세,57.43,202409,07,"18,000",20,3,2008,한글비석로35길 9,202410~202610,신규,-,,,연립다세대
6,서울특별시 노원구 중계동,90-17,0090,0017,방주빌라,월세,61.89,202409,07,"7,000",55,4,2002,중계로14사길 10,202411~202611,신규,-,,,연립다세대
7,서울특별시 노원구 상계동,156-176,0156,0176,해광주택,월세,46.04,202409,06,"2,000",50,1,2010,한글비석로24다길 36,202410~202610,갱신,-,"1,000",30,연립다세대
8,서울특별시 노원구 공릉동,238-37,0238,0037,꽃피는마을,전세,20.44,202409,06,"5,750",0,3,2013,공릉로38길 12-6,202409~202609,갱신,-,"5,500",0,연립다세대
9,서울특별시 노원구 공릉동,395-4,0395,0004,에덴빌라,월세,16.54,202409,05,100,35,1,2012,동일로190길 21,202409~202609,신규,-,,,연립다세대
10,서울특별시 노원구 상계동,581-115,0581,0115,송원레지던스,월세,14.22,202409,04,"1,000",40,4,2012,상계로1길 54-12,202409~202509,신규,-,,,연립다세대
11,서울특별시 노원구 월계동,500-24,0500,0024,청우컨스빌,전세,77.06,202409,04,"32,000",0,4,2008,광운로15길 32,202410~202610,신규,-,,,연립다세대
12,서울특별시 노원구 공릉동,240-220,0240,0220,상진빌리지,전세,37.92,202409,03,"22,000",0,4,2016,노원로1나길 15,202411~202610,신규,-,,,연립다세대
13,서울특별시 노원구 상계동,136-81,0136,0081,림스하이츠빌,전세,60.11,202409,03,"18,000",0,5,2010,한글비석로24바길 89-10,202410~202705,갱신,-,"16,000",0,연립다세대
14,서울특별시 노원구 공릉동,420-2,0420,0002,공릉동평화타운빌라,월세,115.54,202409,01,"27,500",22,8,1998,공릉로46길 3,202408~202608,갱신,-,"12,000",85,연립다세대
15,서울특별시 노원구 공릉동,503-1,0503,0001,스톤게이트,월세,12.09,202408,31,"1,000",44,2,2012,동일로190길 46,202409~202508,신규,-,,,연립다세대
16,서울특별시 노원구 상계동,1388-1,1388,0001,호연빌라,월세,57,202408,31,"1,000",45,1,1998,상계로33길 46,202408~202608,신규,-,,,연립다세대
17,서울특별시 노원구 월계동,534-85,0534,0085,(534-85),전세,37.19,202408,30,"8,000",0,3,1996,월계로44가길 29-9,202410~202609,신규,-,,,연립다세대
18,서울특별시 노원구 상계동,134-102,0134,0102,제이하임Ⅱ,전세,25.15,202408,30,"17,000",0,5,2022,한글비석로46나길 6,202410~202610,신규,-,,,연립다세대
19,서울특별시 노원구 상계동,169-232,0169,0232,월드메인빌C동,월세,44.85,202408,30,"1,500",60,4,2003,한글비석로24나길 31,202409~202609,신규,-,,,연립다세대
20,서울특별시 노원구 월계동,429-22,0429,0022,두리빌,전세,35.52,202408,30,"28,300",0,3,2018,석계로13길 17-4,202410~202610,갱신,-,"27,000",0,연립다세대
21,서울특별시 노원구 월계동,376-62,0376,0062,하버드빌리지,월세,13.23,202408,30,"3,000",40,3,2011,광운로19가길 17-3,202409~202602,신규,-,,,연립다세대
22,서울특별시 노원구 공릉동,338-62,0338,0062,(338-62),월세,13.23,202408,29,"1,000",45,3,2013,공릉로29길 20,202409~202609,신규,-,,,연립다세대
23,서울특별시 노원구 중계동,90-19,0090,0019,자매빌라,전세,64.19,202408,29,"14,900",0,3,1993,중계로14사길 24,202410~202610,신규,-,,,연립다세대
24,서울특별시 노원구 공릉동,240-129,0240,0129,영진맨션,월세,61.84,202408,28,"20,000",10,4,2002,노원로1마길 28,202410~202610,신규,-,,,연립다세대
25,서울특별시 노원구 공릉동,217-20,0217,0020,성심빌라,전세,41.36,202408,28,"12,000",0,3,1991,공릉로 184-7,202410~202610,신규,-,,,연립다세대
26,서울특별시 노원구 공릉동,362-11,0362,0011,부영아트빌,전세,48.44,202408,27,"20,000",0,5,2015,동일로196길 9-6,202409~202609,신규,-,,,연립다세대
27,서울특별시 노원구 상계동,1008-49,1008,0049,우진빌라,월세,51.48,202408,27,"2,000",55,3,1995,동일로238길 32,202409~202609,신규,-,,,연립다세대
28,서울특별시 노원구 중계동,134-1,0134,0001,청룡하이츠,전세,47.21,202408,27,"5,000",0,-1,1991,덕릉로90길 7,202408~202608,신규,-,,,연립다세대
29,서울특별시 노원구 월계동,429-8,0429,0008,(429-8),월세,19.06,202408,27,"2,000",55,4,2016,석계로13길 11-1,202408~202502,신규,-,,,연립다세대
30,서울특별시 노원구 공릉동,371-3,0371,0003,우공리온빌,월세,53.11,202408,27,"15,000",55,5,2018,동일로196길 28,202501~202701,신규,-,,,연립다세대
31,서울특별시 노원구 중계동,90-26,0090,0026,동신다가구(90-26),전세,44.48,202408,26,"9,890",0,1,1995,중계로14바길 34-1,202411~202611,신규,-,,,연립다세대
32,서울특별시 노원구 상계동,May-76,0076,0005,더힐탑유앤아이,월세,34.69,202408,26,"1,000",40,4,2019,덕릉로 808,202409~202608,신규,-,,,연립다세대
33,서울특별시 노원구 하계동,167-33,0167,0033,유신빌딩,월세,34.83,202408,25,"2,000",50,3,2001,공릉로58나길 14-27,202408~202608,신규,-,,,연립다세대
34,서울특별시 노원구 상계동,1118-16,1118,0016,수락래미안,전세,18.1,202408,25,"7,000",0,4,2011,동일로239가길 6,202408~202608,신규,-,,,연립다세대
35,서울특별시 노원구 공릉동,350-22,0350,0022,청마타운A동,월세,28.75,202408,25,"1,000",60,4,2014,공릉로27길 90,202408~202508,신규,-,,,연립다세대
36,서울특별시 노원구 월계동,400-8,0400,0008,대성빌라트,월세,47.06,202408,23,"13,000",14,3,2002,광운로7길 10-5,202409~202609,신규,-,,,연립다세대
37,서울특별시 노원구 상계동,407-35,0407,0035,(407-35),전세,41.12,202408,23,"10,000",0,-1,1986,상계로9나길 33-5,202409~202609,신규,-,,,연립다세대
38,서울특별시 노원구 월계동,382-52,0382,0052,동산주택1,전세,38.76,202408,23,"9,260",0,1,1987,광운로15길 8-19,202410~202610,신규,-,,,연립다세대
39,서울특별시 노원구 월계동,392-43,0392,0043,해인베스트빌(392-43),월세,32.16,202408,22,942,8,4,2008,광운로15길 19,202408~202608,갱신,-,898,8,연립다세대
40,서울특별시 노원구 상계동,1382-27,1382,0027,내경빌라,전세,66.9,202408,22,"17,000",0,1,1995,상계로33길 52-5,202408~202608,신규,-,,,연립다세대
41,서울특별시 노원구 공릉동,218,0218,0000,퍼즐주택(공릉),월세,51.6,202408,22,"3,000",125,5,2018,공릉로46가길 29,202409~202609,신규,-,,,연립다세대
42,서울특별시 노원구 공릉동,504-13,0504,0013,삼성하이빌,월세,73.98,202408,22,"5,000",100,4,2003,동일로186길 77,202410~202610,신규,-,,,연립다세대
43,서울특별시 노원구 상계동,389-587,0389,0587,피스플하우스,전세,45.39,202408,22,"27,300",0,4,2017,상계로23나길 10,202409~202609,갱신,-,"27,300",0,연립다세대
44,서울특별시 노원구 공릉동,499-12,0499,0012,호현아트빌,전세,23.45,202408,21,"7,200",0,1,2002,동일로190길 20,202409~202609,신규,-,,,연립다세대
45,서울특별시 노원구 하계동,252-4,0252,0004,코오롱마들102,전세,92.11,202408,20,"32,000",0,1,1996,공릉로62길 40,202408~202608,갱신,-,"30,000",5,연립다세대
46,서울특별시 노원구 월계동,429-8,0429,0008,(429-8),월세,29.97,202408,20,"3,000",50,4,2016,석계로13길 11-1,202408~202602,신규,-,,,연립다세대
47,서울특별시 노원구 월계동,398-8,0398,0008,광운(라)빌라,전세,36.87,202408,20,"12,000",0,1,1990,광운로7길 18-7,202410~202610,신규,-,,,연립다세대
48,서울특별시 노원구 중계동,90-27,0090,0027,(90-27)쉬즈빌,전세,31.1,202408,20,"8,000",0,4,2002,중계로14바길 36,202410~202610,신규,-,,,연립다세대
49,서울특별시 노원구 중계동,Aug-43,0043,0008,일오삼하우스,전세,59.248,202408,20,"19,000",0,5,2011,중계로8길 21,202409~202609,신규,-,,,연립다세대
50,서울특별시 노원구 공릉동,609-12,0609,0012,진우주택,월세,92.92,202408,19,"1,500",55,4,2003,동일로173길 36-17,202409~202509,신규,-,,,연립다세대
51,서울특별시 노원구 상계동,1380-5,1380,0005,신성파크빌라,전세,55.4,202408,17,"7,500",0,3,1994,상계로35가길 40,202408~202608,신규,-,,,연립다세대
52,서울특별시 노원구 하계동,71,0071,0000,보람빌라트,전세,62.19,202408,17,"11,990",0,-1,1996,공릉로58길 144,202409~202609,신규,-,,,연립다세대
53,서울특별시 노원구 상계동,135-107,0135,0107,신한신C,전세,32.58,202408,16,"1,400",0,4,1991,한글비석로44가길 15,202408~202608,갱신,-,"1,000",0,연립다세대
54,서울특별시 노원구 상계동,188-10,0188,0010,피스플하우스B동,전세,37.14,202408,16,"20,000",0,2,2018,노원로30길 46-13,202409~202609,신규,-,,,연립다세대
55,서울특별시 노원구 공릉동,609-55,0609,0055,(609-55),월세,21.09,202408,16,"1,000",60,3,2012,동일로173길 36,202408~202508,신규,-,,,연립다세대
56,서울특별시 노원구 공릉동,431-1,0431,0001,이지원,월세,45.75,202408,16,"1,000",50,4,2016,동일로198길 66,202409~202508,신규,-,,,연립다세대
57,서울특별시 노원구 상계동,387-146,0387,0146,동일맨션,전세,52.13,202408,16,"25,000",0,2,2010,상계로18길 45,202409~202609,갱신,-,"25,000",0,연립다세대
58,서울특별시 노원구 월계동,429-29,0429,0029,신건안고시텔,월세,55.01,202408,15,"1,000",39,4,2004,석계로13길 11-4,202408~202508,신규,-,,,연립다세대
59,서울특별시 노원구 공릉동,350-42,0350,0042,청마타운B동,월세,25.85,202408,15,"1,000",44,4,2014,공릉로27길 94,202408~202602,신규,-,,,연립다세대
60,서울특별시 노원구 상계동,1131-12,1131,0012,동양빌딩(1131-12),전세,72.68,202408,15,"20,000",0,7,2012,동일로246길 26,202407~202607,갱신,-,"17,000",0,연립다세대
61,서울특별시 노원구 상계동,442-14,0442,0014,현대아트빌,월세,44.41,202408,15,"13,000",15,5,2009,한글비석로41가길 7,202409~202609,신규,-,,,연립다세대
62,서울특별시 노원구 상계동,451-21,0451,0021,한신빌라C,월세,47.55,202408,15,"2,000",50,2,1989,한글비석로46길 14,202411~202611,신규,-,,,연립다세대
63,서울특별시 노원구 상계동,Dec-68,0068,0012,상계맨션,전세,34.86,202408,15,"10,000",0,4,1992,덕릉로124가길 29,202409~202609,신규,-,,,연립다세대
64,서울특별시 노원구 상계동,71-42,0071,0042,한진빌라,월세,57.72,202408,14,"1,000",65,3,1996,덕릉로130길 13,202409~202609,갱신,-,"2,000",50,연립다세대
65,서울특별시 노원구 월계동,402-29,0402,0029,청마하우스,월세,22.08,202408,14,"1,000",45,2,2014,광운로7길 8,202408~202508,신규,-,,,연립다세대
66,서울특별시 노원구 공릉동,509-30,0509,0030,스카이빌,월세,17.56,202408,14,500,35,1,2011,동일로184길 45,202408~202508,신규,-,,,연립다세대
67,서울특별시 노원구 공릉동,509-30,0509,0030,스카이빌,월세,12.62,202408,14,500,40,3,2011,동일로184길 45,202408~202508,신규,-,,,연립다세대
68,서울특별시 노원구 상계동,135-96,0135,0096,(135-96),전세,40.1,202408,14,"9,050",0,-1,1989,한글비석로46길 24,202409~202609,신규,-,,,연립다세대
69,서울특별시 노원구 하계동,166-10,0166,0010,하계동166-10다세대주택,전세,36.95,202408,13,"21,000",0,2,2020,공릉로58다길 5,202408~202608,갱신,-,"22,000",0,연립다세대
70,서울특별시 노원구 하계동,166-10,0166,0010,하계동166-10다세대주택,전세,35.92,202408,13,"19,000",0,2,2020,공릉로58다길 5,202408~202608,갱신,-,"19,000",0,연립다세대
71,서울특별시 노원구 하계동,166-10,0166,0010,하계동166-10다세대주택,전세,36.95,202408,13,"22,000",0,2,2020,공릉로58다길 5,202408~202608,갱신,-,"22,000",0,연립다세대
72,서울특별시 노원구 상계동,1116-58,1116,0058,서울하이츠,전세,34.85,202408,13,"13,000",0,4,2008,동일로242라길 15-4,202409~202609,신규,-,,,연립다세대
73,서울특별시 노원구 상계동,1117-16,1117,0016,에스엔타워,월세,18.69,202408,13,"10,000",10,5,2014,동일로242가길 22,202409~202609,신규,-,,,연립다세대
74,서울특별시 노원구 공릉동,121,0121,0000,태릉현대홈타운스위트2단지,전세,120.061,202408,13,"71,660",0,2,2004,화랑로51나길 36,202409~202609,신규,-,,,연립다세대
75,서울특별시 노원구 공릉동,609-55,0609,0055,(609-55),월세,15.34,202408,13,"1,000",55,2,2012,동일로173길 36,202408~202508,신규,-,,,연립다세대
76,서울특별시 노원구 공릉동,240-220,0240,0220,상진빌리지,전세,37.92,202408,13,"22,000",0,3,2016,노원로1나길 15,202410~202610,신규,-,,,연립다세대
77,서울특별시 노원구 상계동,193-31,0193,0031,우리빌,월세,15.55,202408,12,"1,000",42,4,2013,노원로30길 58-17,202408~202608,신규,-,,,연립다세대
78,서울특별시 노원구 하계동,161-5,0161,0005,풍진빌라,월세,64.23,202408,12,"15,000",30,1,1994,공릉로62길 8-9,202409~202609,신규,-,,,연립다세대
79,서울특별시 노원구 월계동,398-8,0398,0008,광운(라)빌라,월세,36.12,202408,12,200,10,-1,1990,광운로7길 18-7,202408~202608,신규,-,,,연립다세대
80,서울특별시 노원구 월계동,429-29,0429,0029,신건안고시텔,월세,108.83,202408,10,"1,000",29,1,2004,석계로13길 11-4,202408~202508,신규,-,,,연립다세대
81,서울특별시 노원구 공릉동,609-55,0609,0055,(609-55),월세,37.92,202408,10,"1,500",80,4,2012,동일로173길 36,202409~202509,신규,-,,,연립다세대
82,서울특별시 노원구 공릉동,517-85,0517,0085,호산나하우스,월세,20.81,202408,10,"1,000",59,4,2013,동일로184길 26,202409~202607,신규,-,,,연립다세대
83,서울특별시 노원구 상계동,1021-4,1021,0004,광진하이츠빌라,월세,49.77,202408,10,"13,000",20,2,1996,동일로234길 8,202408~202608,갱신,사용,"17,000",0,연립다세대
84,서울특별시 노원구 하계동,Aug-61,0061,0008,리치빌,월세,26.53,202408,09,"8,000",20,3,2007,공릉로58길 121-7,202408~202608,신규,-,,,연립다세대
