NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 노원구 공릉동,5**,8m미만,21.23,전세,202212,31,16000,0,2016.0,동일로182길,202302~202502,신규,-,,,단독다가구
2,서울특별시 노원구 공릉동,3**,8m미만,12.1,전세,202212,31,8500,0,2017.0,동일로190길,202301~202401,신규,-,,,단독다가구
3,서울특별시 노원구 공릉동,3**,8m미만,16.52,전세,202212,31,8000,0,2017.0,동일로190길,202212~202401,신규,-,,,단독다가구
4,서울특별시 노원구 공릉동,6**,8m미만,19.0,전세,202212,31,8500,0,2014.0,공릉로22길,202302~202502,신규,-,,,단독다가구
5,서울특별시 노원구 공릉동,5**,12m미만,29.1,전세,202212,31,9000,0,1992.0,동일로178길,202212~202412,신규,-,,,단독다가구
6,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,31,9000,0,2016.0,공릉로,202302~202402,신규,-,,,단독다가구
7,서울특별시 노원구 공릉동,2**,8m미만,57.75,전세,202212,31,25000,0,2017.0,노원로1마길,202302~202502,신규,-,,,단독다가구
8,서울특별시 노원구 월계동,5**,8m미만,15.0,전세,202212,31,8500,0,2016.0,광운로15길,202302~202408,신규,-,,,단독다가구
9,서울특별시 노원구 월계동,5**,8m미만,14.0,전세,202212,31,10500,0,2009.0,광운로15길,202302~202402,신규,-,,,단독다가구
10,서울특별시 노원구 공릉동,2**,8m미만,12.7,전세,202212,31,8500,0,2017.0,노원로1마길,202301~202401,신규,-,,,단독다가구
11,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,31,9500,0,2015.0,공릉로41가길,202302~202402,신규,-,,,단독다가구
12,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,31,4500,0,2017.0,공릉로,-,-,-,,,단독다가구
13,서울특별시 노원구 월계동,5**,8m미만,16.0,전세,202212,31,6000,0,2009.0,광운로15길,-,-,-,,,단독다가구
14,서울특별시 노원구 상계동,3**,12m미만,15.0,전세,202212,31,8500,0,2017.0,상계로11길,202301~202412,갱신,사용,500,40.0,단독다가구
15,서울특별시 노원구 상계동,3**,8m미만,23.76,전세,202212,31,5200,0,1992.0,상계로24길,-,-,-,,,단독다가구
