NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 노원구 월계동,534-37,534,37,정은빌라,월세,54.6,202312,31,600,53,2,1994,월계로44가길 51-15,202401~202612,갱신,사용,600,53,연립다세대
2,서울특별시 노원구 월계동,411-3,411,3,제이타운,월세,15.47,202312,31,"1,000",57,4,2012,석계로13길 44,202402~202502,신규,-,,,연립다세대
3,서울특별시 노원구 공릉동,503-32,503,32,네모하우스(503-32),전세,12.92,202312,30,"7,000",0,2,2013,동일로186길 53-6,202402~202602,신규,-,,,연립다세대
4,서울특별시 노원구 하계동,65-28,65,28,(65-28),전세,16.63,202312,30,"8,463",0,2,2013,공릉로58마길 31-2,202402~202602,신규,-,,,연립다세대
5,서울특별시 노원구 월계동,877,877,0,(신)신우빌라,전세,54.96,202312,30,"13,000",0,1,1988,우이천로 64,202402~202602,신규,-,,,연립다세대
6,서울특별시 노원구 상계동,370-11,370,11,동광빌라트,전세,56.46,202312,30,"17,000",0,5,2002,상계로9길 19,202401~202601,신규,-,,,연립다세대
7,서울특별시 노원구 월계동,402-29,402,29,청마하우스,월세,15.75,202312,30,"2,000",38,2,2014,광운로7길 8,202402~202502,신규,-,,,연립다세대
8,서울특별시 노원구 상계동,394-14,394,14,내경빌라B,월세,55.34,202312,30,"13,000",10,2,2003,상계로11길 20,202401~202601,신규,-,,,연립다세대
9,서울특별시 노원구 상계동,1008-49,1008,49,우진빌라,월세,51.48,202312,30,"2,000",35,-1,1995,동일로238길 32,202402~202602,신규,-,,,연립다세대
10,서울특별시 노원구 하계동,61-17,61,17,(61-17),월세,13.42,202312,30,"1,000",40,3,2020,공릉로58다길 16-11,202402~202502,신규,-,,,연립다세대
11,서울특별시 노원구 하계동,170-45,170,45,채움빌(170-45),월세,24.2,202312,30,"5,000",50,2,2014,공릉로 324-10,202402~202602,신규,-,,,연립다세대
12,서울특별시 노원구 월계동,534-26,534,26,(534-26),전세,32.76,202312,30,"7,000",0,2,1994,월계로44가길 48,202402~202602,신규,-,,,연립다세대
13,서울특별시 노원구 월계동,411-17,411,17,준파크빌2차(호분할),월세,13.76,202312,30,"5,770",1,3,2009,광운로12길 28,-,-,-,,,연립다세대
14,서울특별시 노원구 중계동,90-25,90,25,숲속파크빌(90-25),월세,70.84,202312,30,"4,000",85,3,2004,중계로14바길 38,202402~202602,신규,-,,,연립다세대
15,서울특별시 노원구 공릉동,237-5,237,5,장가빌,월세,23.73,202312,30,"3,000",35,4,2016,공릉로 152-11,202402~202502,신규,-,,,연립다세대
16,서울특별시 노원구 공릉동,401-14,401,14,아인빌,월세,14.18,202312,29,500,45,4,2012,공릉로43가길 7,202402~202502,신규,-,,,연립다세대
17,서울특별시 노원구 상계동,1048-17,1048,17,시온6동,월세,47.46,202312,29,"12,929",15,3,2019,동일로237나길 23,-,-,-,,,연립다세대
18,서울특별시 노원구 월계동,411-3,411,3,제이타운,월세,15.47,202312,29,"2,000",54,2,2012,석계로13길 44,202402~202502,신규,-,,,연립다세대
19,서울특별시 노원구 하계동,65-28,65,28,(65-28),월세,19.6,202312,29,"1,000",50,4,2013,공릉로58마길 31-2,202402~202602,신규,-,,,연립다세대
20,서울특별시 노원구 하계동,170-45,170,45,채움빌(170-45),월세,15.54,202312,28,"1,000",45,4,2014,공릉로 324-10,202402~202502,신규,-,,,연립다세대
21,서울특별시 노원구 하계동,65-28,65,28,(65-28),월세,16.97,202312,28,"1,000",45,3,2013,공릉로58마길 31-2,202402~202602,신규,-,,,연립다세대
22,서울특별시 노원구 하계동,65-28,65,28,(65-28),월세,13.68,202312,28,"1,000",42,3,2013,공릉로58마길 31-2,202402~202602,신규,-,,,연립다세대
23,서울특별시 노원구 중계동,107-14,107,14,동일캐슬,전세,44.22,202312,28,"25,000",0,2,2022,중계로16길 48,202401~202601,신규,-,,,연립다세대
24,서울특별시 노원구 공릉동,240-13,240,13,준하우스,월세,17.48,202312,28,"1,000",50,2,2013,공릉로32길 39,202402~202502,신규,-,,,연립다세대
25,서울특별시 노원구 중계동,107-14,107,14,동일캐슬,전세,44.22,202312,28,"25,000",0,2,2022,중계로16길 48,-,-,-,,,연립다세대
26,서울특별시 노원구 상계동,156-149,156,149,한양그린빌,전세,39.24,202312,28,"20,000",0,4,2013,한글비석로24다길 11,202402~202602,신규,-,,,연립다세대
27,서울특별시 노원구 월계동,402-21,402,21,준타운,월세,15.96,202312,28,"1,000",54,4,2013,광운로7길 17,202402~202502,신규,-,,,연립다세대
28,서울특별시 노원구 월계동,502-5,502,5,(502-5),월세,14.68,202312,28,"1,000",50,2,2012,광운로1길 36,202402~202502,신규,-,,,연립다세대
29,서울특별시 노원구 월계동,475-28,475,28,두나빌라A동,월세,49.5,202312,28,"8,000",20,-1,1993,광운로2가길 9-6,202401~202601,신규,-,,,연립다세대
30,서울특별시 노원구 월계동,392-47,392,47,길안빌라,전세,34.26,202312,28,"7,000",0,4,1994,광운로15길 27,202401~202601,신규,-,,,연립다세대
31,서울특별시 노원구 월계동,479-18,479,18,연안주택,월세,14.44,202312,27,"7,500",8,3,2012,광운로2가길 10-10,202401~202601,신규,-,,,연립다세대
32,서울특별시 노원구 공릉동,107-118,107,118,(107-118),월세,63.42,202312,27,"2,000",30,2,2008,화랑로51가길 21-11,202402~202502,신규,-,,,연립다세대
33,서울특별시 노원구 공릉동,441-70,441,70,해오름.H,월세,15.39,202312,27,500,43,3,2013,공릉로43가길 13,202402~202502,신규,-,,,연립다세대
34,서울특별시 노원구 공릉동,237-5,237,5,장가빌,월세,23.73,202312,27,"1,000",43,2,2016,공릉로 152-11,202402~202502,신규,-,,,연립다세대
35,서울특별시 노원구 상계동,1387-3,1387,3,신한빌라(1387-3),월세,42.9,202312,27,"3,000",50,3,1993,상계로35가길 13,202312~202512,갱신,-,"6,000",30,연립다세대
36,서울특별시 노원구 하계동,167-5,167,5,(167-5),월세,21.43,202312,27,500,53,2,2012,공릉로58나길 1,202402~202602,신규,-,,,연립다세대
37,서울특별시 노원구 월계동,479-18,479,18,연안주택,월세,13.67,202312,27,"7,500",10,2,2012,광운로2가길 10-10,202401~202601,신규,-,,,연립다세대
38,서울특별시 노원구 상계동,322-47,322,47,(322-47),월세,32.4,202312,27,"2,000",60,3,1993,상계로10길 19,202401~202601,신규,-,,,연립다세대
