NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 노원구 상계동,693-2,693,2,(693-2),월세,29.68,202409,10,500,63,9,1993,상계로 55,202409~202609,신규,-,,
2,서울특별시 노원구 월계동,366-3,366,3,카펠라오피스텔,월세,30,202409,5,500,60,2,2003,광운로 86,202409~202609,신규,-,,
3,서울특별시 노원구 중계동,509-1,509,1,씨앤미,전세,47.75,202409,2,"15,000",0,9,2004,동일로204가길 34,202409~202606,신규,-,,
4,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202408,31,500,50,13,2004,동일로 1701,202411~202511,신규,-,,
5,서울특별시 노원구 공릉동,684-16,684,16,도균빌딩,월세,19.94,202408,28,"4,000",7,2,2016,섬밭로 2,202408~202502,신규,-,,
6,서울특별시 노원구 월계동,366-3,366,3,카펠라오피스텔,월세,30,202408,25,500,55,7,2003,광운로 86,202408~202608,신규,-,,
7,서울특별시 노원구 상계동,1262,1262,0,하이베라스,월세,38.28,202408,24,"1,000",55,7,2003,동일로 1689,202409~202609,신규,-,,
8,서울특별시 노원구 상계동,1262,1262,0,하이베라스,전세,39.29,202408,24,"14,000",0,9,2003,동일로 1689,202410~202610,신규,-,,
9,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,전세,18.96,202408,22,"16,800",0,18,2023,상계로 32,202410~202610,갱신,-,"16,000",0
10,서울특별시 노원구 중계동,360-12,360,12,새롬스타빌,월세,27.26,202408,21,500,35,5,2002,한글비석로 233,202408~202508,신규,-,,
11,서울특별시 노원구 상계동,1262,1262,0,하이베라스,월세,41.35,202408,20,500,65,8,2003,동일로 1689,202408~202508,신규,-,,
12,서울특별시 노원구 중계동,509-1,509,1,씨앤미,전세,34.04,202408,17,"13,230",0,4,2004,동일로204가길 34,202408~202608,갱신,-,"12,660",0
13,서울특별시 노원구 공릉동,670-11,670,11,로우폴리스,전세,22.08,202408,16,"8,400",0,7,2004,화랑로 449-7,202409~202509,갱신,-,"8,000",0
14,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202408,14,500,48,4,2004,동일로 1701,202408~202508,신규,-,,
15,서울특별시 노원구 상계동,1262,1262,0,하이베라스,월세,37.57,202408,12,"1,000",56,5,2003,동일로 1689,202408~202508,신규,-,,
16,서울특별시 노원구 상계동,1131-12,1131,12,(1131-12),월세,28.07,202408,12,"4,000",35,4,2012,동일로246길 26,202408~202608,신규,-,,
17,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202408,10,"2,000",35,4,2004,동일로 1701,202408~202608,신규,-,,
18,서울특별시 노원구 하계동,256-13,256,13,삼정 이오니아,월세,29.25,202408,8,"6,000",35,5,2003,노원로 248,202409~202609,신규,-,,
19,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202408,5,"1,000",40,14,2004,동일로 1701,202408~202508,갱신,-,"1,000",40
20,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202408,5,500,48,7,2004,동일로 1701,202408~202508,신규,-,,
