NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 송파구 삼전동,3*,8m미만,20,전세,202312,31,"14,000",0,1995,백제고분로22길,202402~202602,갱신,-,"9,200",9,단독다가구
2,서울특별시 송파구 풍납동,3**,12m미만,81,월세,202312,31,"16,530",5,1997,강동대로3길,-,-,-,,,단독다가구
3,서울특별시 송파구 삼전동,7*,8m미만,20,월세,202312,31,"1,000",55,1996,백제고분로32길,202401~202601,신규,-,,,단독다가구
4,서울특별시 송파구 풍납동,8*,-,41.04,월세,202312,30,"1,000",55,,,-,-,-,,,단독다가구
5,서울특별시 송파구 삼전동,1*,8m미만,68.13,전세,202312,30,"35,000",0,1994,삼전로8길,202402~202602,신규,-,,,단독다가구
6,서울특별시 송파구 마천동,1**,-,35.42,전세,202312,30,"12,000",0,,,-,-,-,,,단독다가구
7,서울특별시 송파구 삼전동,7*,8m미만,42.97,월세,202312,30,"1,000",60,1997,백제고분로32길,202401~202601,신규,-,,,단독다가구
8,서울특별시 송파구 마천동,3**,8m미만,31.7,월세,202312,30,"2,000",30,1988,마천로57길,-,-,-,,,단독다가구
9,서울특별시 송파구 마천동,3**,8m미만,49.25,전세,202312,30,"10,500",0,1993,성내천로39길,202312~202407,갱신,-,"10,500",0,단독다가구
10,서울특별시 송파구 잠실동,2**,8m미만,21.18,월세,202312,30,"1,000",27,1996,백제고분로15길,-,-,-,,,단독다가구
11,서울특별시 송파구 마천동,2**,8m미만,38.6,전세,202312,30,"9,000",0,1996,성내천로43가길,202403~202603,신규,-,,,단독다가구
12,서울특별시 송파구 삼전동,1*,8m미만,52.43,월세,202312,29,"2,000",58,1997,백제고분로21길,202401~202601,신규,-,,,단독다가구
13,서울특별시 송파구 마천동,8*,8m미만,30.29,월세,202312,29,"1,000",35,1994,거마로24길,202403~202603,신규,-,,,단독다가구
14,서울특별시 송파구 송파동,1**,8m미만,20,월세,202312,29,0,33,1987,가락로23길,202312~202512,갱신,-,0,33,단독다가구
15,서울특별시 송파구 마천동,3**,25m이상,40,월세,202312,29,300,38,1992,성내천로,202401~202501,신규,-,,,단독다가구
16,서울특별시 송파구 마천동,4*,8m미만,68.58,전세,202312,29,"18,000",0,1996,거마로22길,202312~202512,갱신,사용,"18,000",0,단독다가구
17,서울특별시 송파구 문정동,2*,25m미만,29.28,월세,202312,29,924,8,1996,송이로32길,-,-,-,,,단독다가구
18,서울특별시 송파구 마천동,3**,8m미만,29,전세,202312,29,"5,700",0,1995,성내천로43나길,202312~202512,갱신,-,"5,500",0,단독다가구
19,서울특별시 송파구 잠실동,2**,8m미만,39,월세,202312,29,"1,000",60,2000,백제고분로11길,202312~202512,신규,-,,,단독다가구
20,서울특별시 송파구 잠실동,3**,8m미만,39.6,월세,202312,29,500,72,,백제고분로12길,202312~202412,갱신,-,500,63,단독다가구
21,서울특별시 송파구 방이동,1**,8m미만,122.12,월세,202312,29,"15,000",150,1998,올림픽로32길,202402~202602,신규,-,,,단독다가구
22,서울특별시 송파구 풍납동,4**,8m미만,31.95,월세,202312,29,"1,000",45,1991,풍성로29길,202401~202601,신규,-,,,단독다가구
23,서울특별시 송파구 가락동,*,8m미만,43,월세,202312,29,"5,000",50,1988,오금로34길,202401~202601,신규,-,,,단독다가구
24,서울특별시 송파구 오금동,1**,8m미만,40,월세,202312,29,"2,000",60,1995,마천로23길,202402~202602,신규,-,,,단독다가구
25,서울특별시 송파구 오금동,8*,25m미만,52.8,전세,202312,29,"17,000",0,1987,마천로15길,202312~202512,갱신,-,"15,750",0,단독다가구
26,서울특별시 송파구 석촌동,2*,8m미만,60.46,월세,202312,29,"5,000",120,1982,백제고분로33길,202401~202601,신규,-,,,단독다가구
27,서울특별시 송파구 삼전동,3*,8m미만,20,월세,202312,29,300,35,1986,백제고분로22길,202401~202412,신규,-,,,단독다가구
