NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 송파구 가락동,152-8,152,8,가락파크빌라,월세,46.44,202212,31,"1,500",70,-1,1991,중대로18길 19,202301~202501,신규,-,,,연립다세대
2,서울특별시 송파구 가락동,Feb-35,35,2,홍림드림빌,월세,19.58,202212,31,"5,000",35,3,2012,송이로19길 42-11,202302~202502,신규,-,,,연립다세대
3,서울특별시 송파구 풍납동,121-11,121,11,(121-11),월세,15.32,202212,31,500,40,5,2014,바람드리1길 11,202302~202402,신규,-,,,연립다세대
4,서울특별시 송파구 삼전동,124-8,124,8,잉꼬하우스(124-8),월세,15.54,202212,31,"10,800",27,2,2011,백제고분로31길 24-6,202302~202502,신규,-,,,연립다세대
5,서울특별시 송파구 삼전동,117-11,117,11,빌리언빌,전세,21.36,202212,31,"14,000",0,4,2002,백제고분로31길 11-6,202301~202501,신규,-,,,연립다세대
6,서울특별시 송파구 석촌동,Jul-56,56,7,드림파크빌,월세,38.16,202212,31,"2,000",70,2,2003,석촌호수로18길 16-11,202301~202401,갱신,-,"2,000",66,연립다세대
7,서울특별시 송파구 석촌동,241-14,241,14,동광팰리스(C동),전세,29.14,202212,31,"27,000",0,2,2015,가락로6길 4-21,-,신규,-,,,연립다세대
8,서울특별시 송파구 석촌동,280-4,280,4,나래파크빌,전세,43.22,202212,31,"37,000",0,2,2016,백제고분로40길 24-11,202303~202503,신규,-,,,연립다세대
9,서울특별시 송파구 잠실동,199-14,199,14,B&BHOUSE,월세,35.48,202212,31,"6,000",37,2,2010,석촌호수로12길 50,-,-,-,,,연립다세대
10,서울특별시 송파구 잠실동,238-7,238,7,(238-7),월세,70.5,202212,31,"25,000",53,3,2005,백제고분로19길 15-12,202302~202502,신규,-,,,연립다세대
11,서울특별시 송파구 잠실동,335-7,335,7,(335-7),월세,34.53,202212,31,"2,000",90,2,2003,백제고분로18길 3-19,202302~202502,신규,-,,,연립다세대
12,서울특별시 송파구 잠실동,310-1,310,1,(310-1),월세,45.32,202212,31,"17,500",11,4,2002,백제고분로12길 11-6,202301~202501,-,-,,,연립다세대
13,서울특별시 송파구 잠실동,298-16,298,16,(298-16),월세,48.95,202212,31,"2,000",80,4,2003,도곡로64길 15,202303~202503,신규,-,,,연립다세대
14,서울특별시 송파구 잠실동,298-5,298,5,(298-5),전세,40.92,202212,31,"17,850",0,2,2002,백제고분로12길 12-11,-,-,-,,,연립다세대
15,서울특별시 송파구 송파동,17-16,17,16,G.H빌,월세,55.3,202212,31,"15,000",51,2,2004,백제고분로41길 11-9,202302~202502,신규,-,,,연립다세대
16,서울특별시 송파구 삼전동,102-6,102,6,(102-6),월세,36.28,202212,31,"3,000",74,4,2003,백제고분로27길 6-13,202301~202501,신규,-,,,연립다세대
17,서울특별시 송파구 가락동,145-4,145,4,145-4,전세,44,202212,31,"20,000",0,2,2014,송이로23길 16-14,202302~202502,신규,-,,,연립다세대
18,서울특별시 송파구 삼전동,34-24,34,24,(34-24),월세,37.89,202212,31,"19,000",6,2,2002,백제고분로22길 20-17,202302~202501,신규,-,,,연립다세대
19,서울특별시 송파구 삼전동,09월 15일,15,9,(15-9),월세,48.08,202212,31,"10,000",100,5,2002,백제고분로21길 24-7,202301~202501,신규,-,,,연립다세대
20,서울특별시 송파구 문정동,30-15,30,15,(30-15),월세,45.65,202212,31,"3,000",200,3,2022,동남로6길 18,202301~202501,신규,-,,,연립다세대
21,서울특별시 송파구 가락동,13-16,13,16,다옴빌라,월세,50.2,202212,31,500,53,2,2004,송이로17길 50-11,202301~202501,신규,-,,,연립다세대
