NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 송파구 방이동,02월 28일,28,2,엘루이시티,전세,17.45,202409,13,"18,000",0,5,2019, ,202410~202610,신규,-,,
2,서울특별시 송파구 송파동,09월 18일,18,9,상아빌리지,전세,31.35,202409,12,"23,100",0,3,2001,백제고분로41길 5-12,202409~202609,갱신,사용,"22,000",0
3,서울특별시 송파구 방이동,47,47,0,잠실헤리츠,전세,20.97,202409,12,"17,900",0,9,2017, ,202410~202610,신규,-,,
4,서울특별시 송파구 방이동,Mar-50,50,3,잠실 리버리치,월세,42.09,202409,12,"4,000",220,14,2023,오금로11길 65,202410~202510,갱신,-,"4,000",220
5,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,29.99,202409,12,"21,000",15,10,2013,충민로 5,202411~202611,갱신,-,"23,100",0
6,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,전세,30,202409,12,"24,000",0,12,2013,새말로 62,202410~202610,갱신,-,"23,620",0
7,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,46.58,202409,12,"3,000",150,14,, ,202410~202510,신규,-,,
8,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,27.29,202409,12,"21,800",17,19,, ,202410~202610,신규,-,,
9,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,50.11,202409,12,"3,000",149,7,, ,202409~202411,신규,-,,
10,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,46.58,202409,12,"35,000",10,11,, ,202411~202611,신규,-,,
11,서울특별시 송파구 거여동,178-139,178,139,인투파크거여 2단지,월세,29.68,202409,11,"2,000",100,8,2020,거마로 29,202409~202509,신규,-,,
12,서울특별시 송파구 문정동,639-5,639,5,힐스테이트에코송파,월세,21.06,202409,11,"16,800",20,10,2017,정의로7길 13,202410~202610,신규,-,,
13,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,월세,30,202409,11,"1,000",105,13,2013,새말로 62,202409~202509,신규,-,,
14,서울특별시 송파구 삼전동,181-4,181,4,집앤사 하우립,전세,18.17,202409,11,"27,000",0,2,2020,삼학사로 39,202411~202611,신규,-,,
15,서울특별시 송파구 방이동,50,50,0,잠실엘퍼스트오피스텔,전세,18.07,202409,11,"18,000",0,7,2019,백제고분로51길 7,202410~202610,신규,-,,
16,서울특별시 송파구 방이동,50,50,0,잠실엘퍼스트오피스텔,전세,18.07,202409,11,"21,000",0,20,2019,백제고분로51길 7,202410~202510,갱신,사용,"21,000",0
17,서울특별시 송파구 방이동,43,43,0,대명벨리온,월세,17.12,202409,11,"16,200",10,4,2017, ,202410~202610,신규,-,,
